"year","scenario","variable","iter","value"
1999,"Bpa.Fmsy2020","ssb","2",169689.077566505
2000,"Bpa.Fmsy2020","ssb","2",133239.400058225
2001,"Bpa.Fmsy2020","ssb","2",125150.430841708
2002,"Bpa.Fmsy2020","ssb","2",133511.772752099
2003,"Bpa.Fmsy2020","ssb","2",138426.139146523
2004,"Bpa.Fmsy2020","ssb","2",144452.035219813
2005,"Bpa.Fmsy2020","ssb","2",129714.799883032
2006,"Bpa.Fmsy2020","ssb","2",139446.577047338
2007,"Bpa.Fmsy2020","ssb","2",139515.63490688
2008,"Bpa.Fmsy2020","ssb","2",152734.222552572
2009,"Bpa.Fmsy2020","ssb","2",149751.231394818
2010,"Bpa.Fmsy2020","ssb","2",149260.679044918
2011,"Bpa.Fmsy2020","ssb","2",157932.728299743
2012,"Bpa.Fmsy2020","ssb","2",161679.663947935
2013,"Bpa.Fmsy2020","ssb","2",179862.119752939
2014,"Bpa.Fmsy2020","ssb","2",200339.514634529
2015,"Bpa.Fmsy2020","ssb","2",164306.179017537
2016,"Bpa.Fmsy2020","ssb","2",165433.003638073
2017,"Bpa.Fmsy2020","ssb","2",182605.309237307
2018,"Bpa.Fmsy2020","ssb","2",198202.769002091
2019,"Bpa.Fmsy2020","ssb","2",152911.083683497
2020,"Bpa.Fmsy2020","ssb","2",141649.643501691
2021,"Bpa.Fmsy2020","ssb","2",131997.558475894
2022,"Bpa.Fmsy2020","ssb","2",125685.156445297
2023,"Bpa.Fmsy2020","ssb","2",145480.790380593
2024,"Bpa.Fmsy2020","ssb","2",164421.66789454
2025,"Bpa.Fmsy2020","ssb","2",197419.423882546
2026,"Bpa.Fmsy2020","ssb","2",229432.206520161
2027,"Bpa.Fmsy2020","ssb","2",234568.026571825
1975,"Bpa.Fmsy2020","catch","1",33887.17076
1976,"Bpa.Fmsy2020","catch","1",46985.34951
1977,"Bpa.Fmsy2020","catch","1",54576.48329
1978,"Bpa.Fmsy2020","catch","1",44820.34257
1979,"Bpa.Fmsy2020","catch","1",41362.20957
1980,"Bpa.Fmsy2020","catch","1",48593.03983
1981,"Bpa.Fmsy2020","catch","1",93559.14384
1982,"Bpa.Fmsy2020","catch","1",84687.75543
1983,"Bpa.Fmsy2020","catch","1",83926.9287
1984,"Bpa.Fmsy2020","catch","1",92723.70925
1985,"Bpa.Fmsy2020","catch","1",75520.79521
1986,"Bpa.Fmsy2020","catch","1",79547.10662
1987,"Bpa.Fmsy2020","catch","1",73428.22243
1988,"Bpa.Fmsy2020","catch","1",68191.01985
1989,"Bpa.Fmsy2020","catch","1",71097.69552
1990,"Bpa.Fmsy2020","catch","1",61881.51723
1991,"Bpa.Fmsy2020","catch","1",54138.19362
1992,"Bpa.Fmsy2020","catch","1",40049.74245
1993,"Bpa.Fmsy2020","catch","1",45885.19472
1994,"Bpa.Fmsy2020","catch","1",39142.88424
1995,"Bpa.Fmsy2020","catch","1",41128.88723
1996,"Bpa.Fmsy2020","catch","1",44309.77398
1997,"Bpa.Fmsy2020","catch","1",38522.33936
1998,"Bpa.Fmsy2020","catch","1",36138.84419
1999,"Bpa.Fmsy2020","catch","1",27949.14912
2000,"Bpa.Fmsy2020","catch","1",26107.09943
2001,"Bpa.Fmsy2020","catch","1",24138.39253
2002,"Bpa.Fmsy2020","catch","1",24100.78598
2003,"Bpa.Fmsy2020","catch","1",21620.4976
2004,"Bpa.Fmsy2020","catch","1",26929.89563
2005,"Bpa.Fmsy2020","catch","1",20906.72463
2006,"Bpa.Fmsy2020","catch","1",20475.45238
2007,"Bpa.Fmsy2020","catch","1",21984.36186
2008,"Bpa.Fmsy2020","catch","1",27583.67457
2009,"Bpa.Fmsy2020","catch","1",34163.69678
2010,"Bpa.Fmsy2020","catch","1",34213.8274
2011,"Bpa.Fmsy2020","catch","1",54816.06731
2012,"Bpa.Fmsy2020","catch","1",58732.69835
2013,"Bpa.Fmsy2020","catch","1",71643.24716
2014,"Bpa.Fmsy2020","catch","1",82538.66228
2015,"Bpa.Fmsy2020","catch","1",78012.42535
2016,"Bpa.Fmsy2020","catch","1",79405.17798
2017,"Bpa.Fmsy2020","catch","1",82538.66228
2018,"Bpa.Fmsy2020","catch","1",141244.312414344
2019,"Bpa.Fmsy2020","catch","1",46104.8445274746
2020,"Bpa.Fmsy2020","catch","1",11067.7781162939
2021,"Bpa.Fmsy2020","catch","1",16061.5660713448
2022,"Bpa.Fmsy2020","catch","1",0
2023,"Bpa.Fmsy2020","catch","1",0
2024,"Bpa.Fmsy2020","catch","1",0
2025,"Bpa.Fmsy2020","catch","1",1.55178627410776e-29
2026,"Bpa.Fmsy2020","catch","1",0
2027,"Bpa.Fmsy2020","catch","1",723.542373907394
1975,"Bpa.Fmsy2020","catch","2",33887.17076
1976,"Bpa.Fmsy2020","catch","2",46985.34951
1977,"Bpa.Fmsy2020","catch","2",54576.48329
1978,"Bpa.Fmsy2020","catch","2",44820.34257
1979,"Bpa.Fmsy2020","catch","2",41362.20957
1980,"Bpa.Fmsy2020","catch","2",48593.03983
1981,"Bpa.Fmsy2020","catch","2",93559.14384
1982,"Bpa.Fmsy2020","catch","2",84687.75543
1983,"Bpa.Fmsy2020","catch","2",83926.9287
1984,"Bpa.Fmsy2020","catch","2",92723.70925
1985,"Bpa.Fmsy2020","catch","2",75520.79521
1986,"Bpa.Fmsy2020","catch","2",79547.10662
1987,"Bpa.Fmsy2020","catch","2",73428.22243
1988,"Bpa.Fmsy2020","catch","2",68191.01985
1989,"Bpa.Fmsy2020","catch","2",71097.69552
1990,"Bpa.Fmsy2020","catch","2",61881.51723
1991,"Bpa.Fmsy2020","catch","2",54138.19362
1992,"Bpa.Fmsy2020","catch","2",40049.74245
1993,"Bpa.Fmsy2020","catch","2",45885.19472
1994,"Bpa.Fmsy2020","catch","2",39142.88424
1995,"Bpa.Fmsy2020","catch","2",41128.88723
1996,"Bpa.Fmsy2020","catch","2",44309.77398
1997,"Bpa.Fmsy2020","catch","2",38522.33936
1998,"Bpa.Fmsy2020","catch","2",36138.84419
1999,"Bpa.Fmsy2020","catch","2",27949.14912
2000,"Bpa.Fmsy2020","catch","2",26107.09943
2001,"Bpa.Fmsy2020","catch","2",24138.39253
2002,"Bpa.Fmsy2020","catch","2",24100.78598
2003,"Bpa.Fmsy2020","catch","2",21620.4976
2004,"Bpa.Fmsy2020","catch","2",26929.89563
2005,"Bpa.Fmsy2020","catch","2",20906.72463
2006,"Bpa.Fmsy2020","catch","2",20475.45238
2007,"Bpa.Fmsy2020","catch","2",21984.36186
2008,"Bpa.Fmsy2020","catch","2",27583.67457
2009,"Bpa.Fmsy2020","catch","2",34163.69678
2010,"Bpa.Fmsy2020","catch","2",34213.8274
2011,"Bpa.Fmsy2020","catch","2",54816.06731
2012,"Bpa.Fmsy2020","catch","2",58732.69835
2013,"Bpa.Fmsy2020","catch","2",71643.24716
2014,"Bpa.Fmsy2020","catch","2",82538.66228
2015,"Bpa.Fmsy2020","catch","2",78012.42535
2016,"Bpa.Fmsy2020","catch","2",79405.17798
2017,"Bpa.Fmsy2020","catch","2",82538.66228
2018,"Bpa.Fmsy2020","catch","2",141977.006575397
2019,"Bpa.Fmsy2020","catch","2",50084.2651311873
2020,"Bpa.Fmsy2020","catch","2",36805.3733600841
2021,"Bpa.Fmsy2020","catch","2",38966.2199255384
2022,"Bpa.Fmsy2020","catch","2",7975.38391440902
2023,"Bpa.Fmsy2020","catch","2",11769.6067930417
2024,"Bpa.Fmsy2020","catch","2",8788.42767101133
2025,"Bpa.Fmsy2020","catch","2",23329.4027934139
2026,"Bpa.Fmsy2020","catch","2",38026.371504847
2027,"Bpa.Fmsy2020","catch","2",69715.968246166
1975,"Bpa.Fmsy2020","fbar","1",0.0887792801142769
1976,"Bpa.Fmsy2020","fbar","1",0.112259617882781
1977,"Bpa.Fmsy2020","fbar","1",0.125898869245961
1978,"Bpa.Fmsy2020","fbar","1",0.110091242396679
1979,"Bpa.Fmsy2020","fbar","1",0.0989129446186778
1980,"Bpa.Fmsy2020","fbar","1",0.115769962730955
1981,"Bpa.Fmsy2020","fbar","1",0.219285178436158
1982,"Bpa.Fmsy2020","fbar","1",0.2025015870981
1983,"Bpa.Fmsy2020","fbar","1",0.194917034903945
1984,"Bpa.Fmsy2020","fbar","1",0.205399842389221
1985,"Bpa.Fmsy2020","fbar","1",0.178609547814631
1986,"Bpa.Fmsy2020","fbar","1",0.211200938086808
1987,"Bpa.Fmsy2020","fbar","1",0.248849324230207
1988,"Bpa.Fmsy2020","fbar","1",0.269782890181719
1989,"Bpa.Fmsy2020","fbar","1",0.297238156152903
1990,"Bpa.Fmsy2020","fbar","1",0.246445509734722
1991,"Bpa.Fmsy2020","fbar","1",0.21103102156918
1992,"Bpa.Fmsy2020","fbar","1",0.149876455824821
1993,"Bpa.Fmsy2020","fbar","1",0.168930081883429
1994,"Bpa.Fmsy2020","fbar","1",0.148188859396745
1995,"Bpa.Fmsy2020","fbar","1",0.167202665939654
1996,"Bpa.Fmsy2020","fbar","1",0.229361109736889
1997,"Bpa.Fmsy2020","fbar","1",0.240129416399604
1998,"Bpa.Fmsy2020","fbar","1",0.288590694061344
1999,"Bpa.Fmsy2020","fbar","1",0.308739174852886
